,frequency,Z,phi,ReZ,ImZ
84,28000.0,1010000.0,-96.93,-114118.22396623407,-995922.3312673848
85,27000.0,1125000.0,-94.91499999999999,-92092.62421309689,-1107169.3741438803
86,26000.0,1085000.0,-95.61000000000001,-103772.04459487999,-1075562.0118385344
87,25000.0,1140000.0,-98.41,-159895.04700623127,-1095198.5075510042
88,24000.0,1175000.0,-102.35499999999999,-273869.7728543192,-1127028.0387157998
89,23000.0,1185000.0,-93.46000000000001,-74629.82609798602,-1161027.7628119434
90,22000.0,1330000.0,-95.905,-133285.7053850697,-1316540.3927803019
91,21000.0,1380000.0,-95.375,-132597.68357993546,-1340489.9359429711
92,20000.0,1450000.0,-91.16499999999999,-28236.770051639825,-1444838.690766743
93,19000.0,1495000.0,-99.16,-251192.58902431064,-1471872.7121185465
94,18000.0,1605000.0,-98.95500000000001,-248857.41727452664,-1552350.0873231613
95,17000.0,2050000.0,-101.715,-416555.5816474818,-2020401.3419697122
96,16000.0,1905000.0,-96.56,-215671.7802217767,-1875463.4262788678
97,15000.0,2170000.0,-101.495,-452467.4287565599,-2110485.5435858434
98,14000.0,2175000.0,-97.9,-310403.999224225,-2133835.370274995
99,13000.0,2435000.0,-101.31,-481430.1306015641,-2377535.831198348
100,12000.0,2760000.0,-97.66,-323067.7982474003,-2698597.9838272836
101,11000.0,2860000.0,-108.285,-853132.9665556484,-2743782.373155185
102,10000.0,3469400.0,-104.34,-872180.5376821035,-3360528.1733227083
103,9000.0,4160300.0,-104.82,-1094390.808860166,-3963666.2444091844
104,8000.0,4547600.0,-100.065,-831594.9826845215,-4478815.938946597
105,7000.0,5682600.0,-100.76500000000001,-1081746.063316443,-5547682.267110627
106,6000.0,6826150.0,-94.98,-606289.9687320016,-6786634.64482846
107,5000.0,8464500.0,-90.76,-115153.39763660695,-8461747.41051013
108,4000.0,10765000.0,-87.02000000000001,621234.7511113768,-10627213.007628705
109,3000.0,13710000.0,-82.19500000000001,2157868.6072722506,-13402344.076222315
110,2000.0,18960000.0,-69.42500000000001,6990027.626822503,-16684613.219749577
111,1000.0,32585000.0,-44.19,22063054.351406723,-23061898.563342266
112,999.0,32055000.0,-45.230000000000004,23016779.8287182,-22225628.853312336
113,957.0,33070000.0,-44.03,24043460.899110448,-22872347.56238578
114,918.0,32175000.0,-40.475,24482957.814906374,-20803916.99382653
115,879.0,32595000.0,-38.67,24975437.429607585,-20167434.650107834
116,843.0,34905000.0,-39.16,26518300.764669638,-22064153.215944044
117,808.0,35450000.0,-35.835,28597119.04177255,-19839964.91225206
118,774.0,37640000.0,-36.155,30976194.7014156,-22246704.983650528
119,742.0,37420000.0,-34.14,30045466.101813853,-20836883.84142048
120,712.0,35980000.0,-30.375,30199116.29838273,-19466507.968280382
121,682.0,36515000.0,-29.020000000000003,32200550.59843859,-16699079.268518906
122,654.0,37225000.0,-27.055,31519039.671405822,-16123880.41537702
123,627.0,35885000.0,-27.345,32441296.669190772,-17045502.054732185
124,601.0,41810000.0,-23.985,39171722.96455677,-17179856.0404292
125,576.0,33445000.0,-17.445,32337155.778036043,-10408083.879196811
126,552.0,34515000.0,-14.82,33080241.80108603,-9003586.385037225
127,529.0,36350000.0,-19.44,34095077.943690374,-10862382.036468945
128,507.0,35555000.0,-12.885000000000002,33630513.155105814,-7660052.52545766
129,486.0,37665000.0,-15.27,35450731.11312158,-10351879.525438733
130,466.0,36995000.0,-7.42,35202697.43939007,-4741709.805277413
131,446.0,35300000.0,-9.015,32258459.57479715,-5293201.133132894
132,428.0,34730000.0,-6.505,33099180.92537096,-3825685.4095847383
133,410.0,35275000.0,-11.71,35008258.81212699,-6113250.114021657
134,393.0,36835000.0,-0.31,35098713.61550867,-369465.4065077466
135,377.0,35640000.0,-0.4750000000000001,35143306.47498132,-370837.43994882173
136,361.0,37185000.0,-5.225,36876007.10010941,-3304756.177975377
137,346.0,34885000.0,-5.995,34801710.80651083,-3794652.3358885245
138,332.0,34935000.0,-5.715,34598177.55105973,-3343066.155686599
139,318.0,40090000.0,6.595000000000001,39693767.459820256,4196320.683419336
140,305.0,31950000.0,6.805,31507802.645883307,3305265.3962502647
141,292.0,33645000.0,3.6350000000000002,32906075.904007405,1945797.2067875667
142,280.0,30440000.0,1.355,29124423.939730197,787761.2858751261
143,268.0,34605000.0,11.485,32943411.80381371,5443068.184857321
144,257.0,32215000.0,7.42,29730840.646893077,4061782.7402942795
145,247.0,28790000.0,13.09,27327148.69830273,7251480.99672245
146,236.0,31085000.0,18.25,29180066.402234837,8811173.826539902
147,227.0,33645000.0,10.25,32537962.215049677,5863978.065039473
148,217.0,30650000.0,15.245000000000001,28385262.543885287,7399031.1558750905
149,208.0,30350000.0,11.14,28606000.54551149,6302511.448225716
150,200.0,27800000.0,15.670000000000002,25001326.47515832,9632546.96457706
151,191.0,26420000.0,8.445,25373517.71399016,5957440.533780862
152,183.0,30010000.0,1.63,22092032.85882786,513657.4015488203
153,176.0,21095000.0,22.195,18277909.16422154,7628550.593864793
154,168.0,29535000.0,24.235,21940649.471866,9868659.266838523
155,161.0,31765000.0,8.325,24662594.305385336,4155859.6781497467
156,155.0,27025000.0,11.895,22439130.997868367,6100411.214632661
157,148.0,23600000.0,14.595,18312794.28574756,8319987.0015529655
158,142.0,25205000.0,27.505000000000003,14972998.844393082,8940738.735251848
159,136.0,24625000.0,8.69,14902348.72323173,2645147.24412274
160,131.0,23030000.0,2.2,18201769.101458084,161463.6292433159
161,125.0,23235000.0,17.595,12255347.620300641,3657969.0829413934
162,120.0,20155000.0,20.42,13432270.069844333,5437524.8639880065
163,115.0,20165000.0,26.615000000000002,15891030.63334595,6555924.013531043
164,110.0,27610000.0,4.465,15245851.088267334,1925967.7822324147
165,106.0,16755000.0,14.190000000000001,13076355.271874655,6187580.446728664
166,101.0,14940000.0,-17.025,12126806.976356328,-3624858.0734947803
167,97.0,20525000.0,-2.96,16171145.113338746,-1402293.6518721243
168,93.0,15625000.0,32.15,10493862.117754817,9790533.332437662
169,89.0,17220000.0,16.240000000000002,10982860.669525824,3663435.085836042
170,85.0,15945000.0,5.665,10379297.33881542,1527619.748909264
171,82.0,15220000.0,5.035,12026674.579130378,1521078.125301307
172,79.0,17710000.0,31.16,12987317.545464516,6931040.369707645
173,75.0,11790000.0,16.845,9016210.708807658,3435442.620554459
174,72.0,17635000.0,17.310000000000002,9486520.095263116,4872567.685348046
175,69.0,12040000.0,22.450000000000003,7307735.878644132,4779716.543695865
176,66.0,16805000.0,13.065000000000001,9487823.846600551,3056764.926939768
177,64.0,10492000.0,10.285,7168570.478948127,1847903.3511114793
178,61.0,15390000.0,11.175,8787089.549781714,1892259.8989362204
179,58.0,6528450.0,29.990000000000002,3580305.5109451953,2259689.888433884
180,56.0,15020000.0,8.940000000000001,5280698.285709698,2190075.4633188727
181,54.0,4679500.0,-49.81,3354572.7788497843,-3121747.4289854597
182,51.0,1765100.0,20.535,280105.9640740134,212137.78329145396
183,49.0,1718850.0,-25.545,386181.90766522835,-413829.8867465658
184,47.0,2824650.0,42.275,390546.9300549581,896173.9960364812
185,45.0,8082900.0,46.285,-1181330.5998118226,3431757.9397837655
186,43.0,7960050.0,-18.94,4753427.558935996,-1373866.6314090942
187,42.0,5639300.0,-49.795,3755614.6004300294,-4399123.6718382
188,40.0,8104150.0,-22.15,5960112.351204077,-3066433.255773646
189,38.0,8187500.0,18.815,-471814.44616451097,1746875.3538467747
190,37.0,6819300.0,21.445,3143938.4048862066,1296003.7098426095
191,35.0,5996400.0,-36.07,-1187679.855470274,-1545299.9809690216
192,34.0,6902400.0,12.765,2511745.7977848463,1444704.5274140085
193,32.0,8583500.0,-5.925000000000001,462387.8326111663,-515937.8851015079
194,31.0,7627250.0,-5.895,2895702.892385856,-414491.1160519769
195,30.0,4419950.0,0.8499999999999996,1820399.588019385,-26653.56583698734
196,28.0,6968350.0,68.045,-207749.38451553174,2020932.4767643055
197,27.0,4285300.0,20.21,1651219.4574111127,1876382.995511028
198,26.0,5131950.0,5.27,325631.78093616397,614225.3726498288
199,25.0,4757450.0,-39.525,1174493.1557286633,-1714001.2870735235
