,frequency,Z,phi,ReZ,ImZ
104,8000.0,179.745,-13.16,175.02812176511594,-40.92160858677037
105,7000.0,183.25,-11.98,179.25883625907733,-38.03724652286639
106,6000.0,186.765,-10.655000000000001,183.54786960503603,-34.530954831170554
107,5000.0,189.98,-9.19,187.54144608507056,-30.34149634280702
108,4000.0,192.9,-7.58,191.21880969076327,-25.44551282497939
109,3000.0,195.385,-5.8500000000000005,194.36919905117256,-19.913490550957903
110,2000.0,197.33,-3.99,196.8517134931355,-13.730688067846534
111,1000.0,198.65,-2.0300000000000002,198.52533057583733,-7.03673359979715
112,999.0,198.64000000000001,-2.0300000000000002,198.5153368516704,-7.03637937208007
113,957.0,198.68,-1.94,198.56494481565278,-6.726067038907367
114,918.0,198.71,-1.87,198.60417479361547,-6.4842774884356595
115,879.0,198.745,-1.79,198.64747459451286,-6.208060788067751
116,843.0,198.775,-1.72,198.68544068144723,-5.966262332408283
117,808.0,198.8,-1.6500000000000001,198.71757119691546,-5.724237730810778
118,774.0,198.83,-1.59,198.75344509365496,-5.516970491445921
119,742.0,198.85,-1.52,198.78002997329932,-5.274673811167914
120,712.0,198.87,-1.46,198.80543811157688,-5.067018577425998
121,682.0,198.89000000000001,-1.4000000000000001,198.83062930257952,-4.859315912781186
122,654.0,198.91,-1.35,198.8547885946625,-4.686272823053395
123,627.0,198.93,-1.29,198.879581943937,-4.478480300821662
124,601.0,198.95000000000002,-1.24,198.90340974343653,-4.305356249441846
125,576.0,198.97,-1.19,198.92708682472912,-4.132194020939795
126,552.0,198.97,-1.1400000000000001,198.93061709800617,-3.9585958377260018
127,529.0,199.0,-1.09,198.96399044838896,-3.7855653281096924
128,507.0,199.01,-1.05,198.9765831058628,-3.646844597138417
129,486.0,199.02,-1.01,198.9890790404315,-3.508108128451051
130,466.0,199.04,-0.97,199.01147680322012,-3.369525278341237
131,446.0,199.05,-0.93,199.02377936026528,-3.230750556208618
132,428.0,199.05,-0.89,199.0259863485766,-3.091804970597025
133,410.0,199.06,-0.86,199.03757680529407,-2.987744881456016
134,393.0,199.07,-0.8200000000000001,199.0496131161855,-2.848932834743511
135,377.0,199.07,-0.79,199.05107752857117,-2.7447103152691956
136,361.0,199.1,-0.76,199.0824847308084,-2.640884966717289
137,346.0,199.1,-0.73,199.08384020508416,-2.5366452642253434
138,332.0,199.11,-0.7000000000000001,199.0951403530926,-2.4324048662977114
139,318.0,199.11,-0.67,199.09638672968129,-2.328397670302195
140,305.0,199.12,-0.65,199.10718667981703,-2.2588962898945337
141,292.0,199.135,-0.62,199.12334126370888,-2.154806018307835
142,280.0,199.13,-0.59,199.11944248714445,-2.050544990016915
143,268.0,199.14000000000001,-0.5700000000000001,199.13014561849158,-1.9810870648058698
144,257.0,199.14000000000001,-0.55,199.13115561687627,-1.9115774119023643
145,247.0,199.15,-0.525,199.14147972342212,-1.8247807681491683
146,236.0,199.155,-0.5,199.14741678784503,-1.737933177178661
147,227.0,199.16,-0.48,199.1530111327422,-1.6684593977257152
148,217.0,199.16,-0.46,199.15358140183372,-1.5989417822985612
149,208.0,199.16500000000002,-0.44,199.1591272572314,-1.52946236891134
150,200.0,199.17000000000002,-0.42,199.16464887249958,-1.459979278608264
151,191.0,199.17000000000002,-0.41000000000000003,199.16490065350143,-1.425218467783952
152,183.0,199.16500000000002,-0.39,199.1603861305986,-1.3556626832926892
153,176.0,199.17000000000002,-0.38,199.16561959501848,-1.3209357790586982
154,168.0,199.17000000000002,-0.36,199.16606855471684,-1.2514137836203765
155,161.0,199.17000000000002,-0.35000000000000003,199.16628393415135,-1.2166527281914092
156,155.0,199.17000000000002,-0.33,199.16669649215814,-1.1471305072082747
157,148.0,199.17000000000002,-0.32,199.16689367071788,-1.1123693437718747
158,142.0,199.18,-0.31,199.1770846359388,-1.077662251393602
159,136.0,199.18,-0.29,199.17744867645956,-1.0081362687221733
160,131.0,199.18,-0.28,199.17762159578464,-0.973373230792608
161,125.0,199.18,-0.27,199.17778844781242,-0.9386101632123983
162,120.0,199.18,-0.26,199.1779492325378,-0.9038470670404882
163,115.0,199.185,-0.25,199.1831039023595,-0.8691057598822458
164,110.0,199.19,-0.24,199.1882525123323,-0.8343626809368989
165,106.0,199.19,-0.23,199.1883951022804,-0.799597760028988
166,101.0,199.20000000000002,-0.22,199.19853155088566,-0.7648712119131288
167,97.0,199.195,-0.21,199.1936620457119,-0.7300861721168601
168,93.0,199.20000000000002,-0.21,199.19866201212787,-0.7301044980329755
169,89.0,199.205,-0.2,199.20378637497015,-0.6953552151696436
170,85.0,199.21,-0.2,199.20878634450844,-0.6953377619125675
171,82.0,199.21,-0.19,199.2089046758104,-0.6606041658059705
172,79.0,199.20000000000002,-0.18,199.19901698821016,-0.6258042271872091
173,75.0,199.20000000000002,-0.17,199.19912317767748,-0.5910374307003713
174,72.0,199.20000000000002,-0.17,199.19912317767748,-0.5910374307003713
175,69.0,199.20000000000002,-0.16,199.19922329919248,-0.5562706162095039
176,66.0,199.20000000000002,-0.15,199.1993173527522,-0.5215037847736643
177,64.0,199.20000000000002,-0.15,199.1993173527522,-0.5215037847736643
178,61.0,199.205,-0.14,199.2044053234274,-0.4867491547445181
179,58.0,199.21,0.21,199.2086619449598,0.7301411498652061
180,56.0,199.21,0.29,199.20744829218552,1.0082881117187676
181,54.0,161.74,-35.730000000000004,131.29695336070864,-94.45071539271633
182,51.0,199.22,0.1,199.21969657066518,0.3477043170542611
183,49.0,199.215,-0.1,199.2146965782806,-0.3476955904124316
184,47.0,199.21,-0.45,199.20385589441855,-1.564575596040185
185,45.0,199.20000000000002,0.67,199.18638057632722,2.329333145461015
186,43.0,199.21,0.1,199.20969658589604,0.3476868637706021
187,42.0,199.215,-0.27,199.21278805919746,-0.9387750962162764
188,40.0,149.49,-41.37,112.18585114437546,-98.80078391901571
189,38.0,199.19,0.87,199.16703732749497,3.0244573378084003
190,37.0,199.20000000000002,0.5700000000000001,199.1901426494101,1.9816839575641723
191,35.0,199.21,0.34,199.20649254236048,1.1821289990862698
192,34.0,199.21,-0.1,199.20969658589604,-0.3476868637706021
193,32.0,199.21,-0.18,199.2090169388622,-0.6258356430620678
194,31.0,199.21,-0.27,199.20778811471388,-0.9387515343585795
195,30.0,199.21,-0.45,199.20385589441855,-1.564575596040185
196,28.0,199.19,-0.84,199.1685936281951,-2.920246612305756
197,27.0,199.215,-0.28,199.2126211778504,-0.9735687068907689
198,26.0,199.21,-0.13,199.20948723025413,-0.45199276456411164
199,25.0,199.21,-0.06,199.20989077090485,-0.20860695005892685
