,frequency,Z,phi,ReZ,ImZ
0,1000000.0,9613.3,-1.86,9608.234935469194,-311.9839906812524
1,958000.0,9656.95,-1.975,9651.213346459335,-332.8371574538944
2,919000.0,9690.2,-1.99,9684.355868566076,-336.4928691218225
3,881000.0,9755.75,-2.09,9749.260222344641,-355.75065390858936
4,844000.0,9782.650000000001,-2.105,9775.985392976836,-359.3311380272792
5,809000.0,9776.95,-2.16,9769.970977708028,-368.54214418315394
6,775000.0,9803.150000000001,-2.17,9796.119811418916,-371.18631840369176
7,743000.0,9840.2,-2.29,9832.341460951988,-393.1728205996344
8,712000.0,9848.2,-2.255,9840.589724782189,-387.4402382353362
9,683000.0,9856.850000000002,-2.25,9849.284419535757,-386.9781149647755
10,655000.0,9874.800000000001,-2.32,9866.705879255016,-399.7456753773058
11,627000.0,9887.650000000001,-2.38,9879.120780508689,-410.64074318686994
12,601000.0,9879.55,-2.4,9870.919984350676,-413.68748940807666
13,576000.0,9894.45,-2.39,9885.345102080726,-412.6361839922572
14,552000.0,9898.95,-2.4800000000000004,9889.678362063594,-428.3121344378431
15,530000.0,9894.85,-2.49,9885.507474438866,-429.8819550915364
16,508000.0,9898.150000000001,-2.52,9888.53978748854,-435.21841916938575
17,486000.0,9909.150000000001,-2.58,9899.066525609414,-446.06449494714127
18,466000.0,9920.150000000001,-2.65,9909.541418780107,-458.6948260183776
19,447000.0,9935.3,-2.74,9923.941418943192,-474.9689549133034
20,428000.0,9947.1,-2.83,9934.968590944305,-491.1846715182629
21,411000.0,9956.300000000001,-2.9050000000000002,9943.549535932914,-504.5963511424729
22,394000.0,9962.7,-3.005,9949.046312539882,-522.2861299982856
23,377000.0,9972.650000000001,-3.075,9958.103407627248,-534.9773750732803
24,362000.0,9979.400000000001,-3.17,9964.130074861132,-551.8618211849471
25,347000.0,9988.300000000001,-3.285,9971.937660633526,-572.353258210542
26,332000.0,9995.3,-3.395,9977.964216513508,-591.9557075884426
27,318000.0,10000.0,-3.5,9981.34798421867,-610.4853953485688
