Material,Материал,Формула,"Eg, эВ",Тип,Элементы,Решетка,"Постоянная решетки,нм","Плотность, г/см$^3$","M, г/моль","Тпл, К","Ткип, К",me*,me*(l),me*(t),mh*,mh*(l),mh*(t),"mu_e, см^2В$^{-1}с^{-1}","mu_h, см^2В$^{-1}с^{-1}",epsilon(0),epsilon(infty),Растворимость в воде
Lead telluride,Теллурид свинца,PbTe,0.29,D,"82, 52",RS,0.646,8.164,334.8,,,0.17,,,0.2,,,6000,,380,33,
Zinc phosphide,Фосфид цинка,Zn3P2,1.5,D,"30, 15",T,,4.55,258.12,1430,,,,,,,,,,,,Reacts
Titanium oxide (anatase),Оксид титана (анатаз),TiO2,3.2,I,"22, 8",AN,,3.78,79.866,2116,3245,,,,,,,,,,,I
Titanium oxide (rutile),Оксид титана (рутил),TiO2,3.05,D,"22, 8",RU,,4.23,79.866,2116,3245,,,,,,,,,,,I
Molybdenum disulfide,Дисульфид молибдена,MoS2,1.23,I,"42, 16",,"0.3161, 1.2295",5.06,160.07,2648,,,,,,,,,,,,I
Gallium selenide,Селенид галлия,GaSe,2.1,I,"31, 34",HEX,,5.03,148.69,1230,,,,,,,,,,,,
Copper zinc tin sulfide,,Cu2ZnSnS4,1.49,D,"29, 30, 50, 16",,,,,,,,,,,,,,,,,
Copper tin sulfide,,Cu2SnS3,0.91,D,"39, 50, 16",,,,,,,,,,,,,,,,,
,Сульфид ртути,HgS,2,,,,,,,,,,,,,,,,,30.7,,
,Селенид ртути,HgSe,0.6,,,,,,,,,,,,,,,,,25.6,7.3,
,Теллурид ртути,HgTe,0,,,,,,,,,,,,,,,,,48,,
,,CuGaS2,,,,,,,,,,,,,,,,,,7.3,6.4,
,,CuGaSe2,,,,,,,,,,,,,,,,,,9.6,5.4,
,,CuGaTe2,,,,,,,,,,,,,,,,,,8,7.5,
,,CuInS2,,,,,,,,,,,,,,,,,,7.3,5.4,
,,CuInSe2,1,D,"29, 49, 34",,,,,,,,,,,,,,,8.6,4.6,
