wl,n
0.20395,1.375
0.20462,1.377
0.20530,1.379
0.20598,1.381
0.20667,1.383
0.20736,1.385
0.20805,1.387
0.20875,1.389
0.20946,1.392
0.21017,1.394
0.21088,1.397
0.21160,1.399
0.21233,1.402
0.21306,1.405
0.21379,1.408
0.21453,1.411
0.21528,1.415
0.21603,1.418
0.21678,1.421
0.21754,1.425
0.21831,1.429
0.21908,1.433
0.21986,1.437
0.22064,1.441
0.22143,1.445
0.22222,1.450
0.22302,1.455
0.22383,1.459
0.22464,1.464
0.22545,1.469
0.22628,1.475
0.22711,1.480
0.22794,1.485
0.22878,1.491
0.22963,1.497
0.23048,1.503
0.23134,1.509
0.23221,1.515
0.23308,1.522
0.23396,1.528
0.23485,1.535
0.23574,1.542
0.23664,1.549
0.23755,1.556
0.23846,1.563
0.23938,1.571
0.24031,1.578
0.24125,1.586
0.24219,1.593
0.24314,1.601
0.24409,1.609
0.24506,1.617
0.24603,1.626
0.24701,1.634
0.24800,1.642
0.24900,1.651
0.25000,1.659
0.25101,1.668
0.25203,1.677
0.25306,1.685
0.25410,1.694
0.25514,1.703
0.25620,1.712
0.25726,1.721
0.25833,1.729
0.25941,1.738
0.26050,1.747
0.26160,1.756
0.26271,1.764
0.26383,1.773
0.26496,1.781
0.26609,1.790
0.26724,1.798
0.26840,1.806
0.26957,1.814
0.27074,1.822
0.27193,1.829
0.27313,1.837
0.27434,1.844
0.27556,1.851
0.27679,1.858
0.27803,1.864
0.27928,1.870
0.28054,1.876
0.28182,1.881
0.28311,1.886
0.28440,1.891
0.28571,1.896
0.28704,1.900
0.28837,1.903
0.28972,1.906
0.29108,1.909
0.29245,1.912
0.29384,1.914
0.29524,1.915
0.29665,1.916
0.29808,1.917
0.29952,1.917
0.30097,1.917
0.30244,1.916
0.30392,1.915
0.30542,1.914
0.30693,1.912
0.30846,1.910
0.31000,1.907
0.31156,1.904
0.31313,1.901
0.31472,1.898
0.31633,1.894
0.31795,1.891
0.31959,1.887
0.32124,1.883
0.32292,1.879
0.32461,1.875
0.32632,1.871
0.32804,1.867
0.32979,1.863
0.33155,1.859
0.33333,1.855
0.33514,1.852
0.33696,1.849
0.33880,1.846
0.34066,1.843
0.34254,1.841
0.34444,1.839
0.34637,1.837
0.34831,1.836
0.35028,1.835
0.35227,1.835
0.35429,1.835
0.35632,1.836
0.35838,1.837
0.36047,1.838
0.36257,1.840
0.36471,1.842
0.36686,1.845
0.36905,1.848
0.37126,1.851
0.37349,1.855
0.37576,1.858
0.37805,1.862
0.38037,1.866
0.38272,1.869
0.38509,1.873
0.38750,1.876
0.38994,1.879
0.39241,1.882
0.39490,1.884
0.39744,1.886
0.40000,1.887
0.40260,1.888
0.40523,1.888
0.40789,1.887
0.41060,1.885
0.41333,1.883
0.41611,1.879
0.41892,1.875
0.42177,1.871
0.42466,1.866
0.42759,1.860
0.43056,1.853
0.43357,1.847
0.43662,1.840
0.43972,1.832
0.44286,1.824
0.44604,1.816
0.44928,1.808
0.45255,1.800
0.45588,1.790
0.45926,1.781
0.46269,1.770
0.46617,1.758
0.46970,1.745
0.47328,1.731
0.47692,1.717
0.48062,1.705
0.48438,1.699
0.48819,1.702
0.49206,1.717
0.49600,1.743
0.50000,1.777
0.50407,1.819
0.50820,1.865
