,frequency,Z,phi,ReZ,ImZ
63,191000.0,7858.05,-12.46,7531.937174885316,-1655.548406216163
64,186000.0,6386.700000000001,-24.05,5455.324561094532,-2637.0576721981006
65,181000.0,7852.050000000001,-14.375,7679.15276743788,-1767.3732528154912
66,176000.0,8286.1,-4.01,7005.976797967778,-491.3664325905331
67,172000.0,8119.800000000001,-12.49,7978.484134331939,-1796.8464901835282
68,167000.0,3623.95,-1.295,2224.4042471282833,-43.40862528305535
69,163000.0,8266.650000000001,-12.25,8111.606625648281,-1719.0410367428608
70,159000.0,5336.950000000001,9.555,4184.476092963861,593.7943204601766
71,155000.0,7724.6,-10.205000000000002,7628.6758234663175,-1367.6428757972271
72,151000.0,8034.9,-8.969999999999999,7717.593666790835,-1201.6707685513766
73,147000.0,6894.300000000001,-13.935,6457.589617501412,-1707.2457483090461
74,143000.0,7725.0,-8.13,7524.71397859896,-930.2404528823033
75,139000.0,8059.85,-19.395000000000003,7801.071546710362,-2321.6061004647427
76,136000.0,8732.150000000001,-9.225000000000001,8561.686070314285,-1311.5128366756767
77,132000.0,8301.6,-9.895,8159.955475108551,-1407.9434649172385
78,129000.0,6509.8,-7.97,5271.8069295198,-739.5009798029552
79,125000.0,8111.950000000001,-6.745,8074.486628268543,-861.4766252560655
80,122000.0,8482.75,-9.05,8270.8785975247,-1292.550926773534
81,119000.0,8146.0,-3.13,8043.9789269388875,-444.793151577908
82,116000.0,8108.200000000001,-8.68,7835.224499795791,-1163.680961407612
83,113000.0,8160.25,-2.675,8073.189688338223,-391.2914174299036
84,110000.0,8400.55,-5.375,8381.919300521491,-775.3944325666737
85,107000.0,8547.8,-10.190000000000001,8284.309371807296,-1401.5607820801413
86,104000.0,8384.0,-8.605,8374.26195244908,-1234.4178821399046
87,102000.0,8259.800000000001,-9.9,8162.584280650274,-1309.6235919774622
88,99000.0,8596.05,-7.07,8545.648523065745,-1079.8397741953763
89,96000.0,8903.8,-7.615,8824.105445704194,-1172.8934848319946
90,94000.0,8402.6,-6.745,8339.831902249953,-980.850717658964
91,91000.0,8587.1,-8.065000000000001,8544.67610085415,-1172.5077846669296
92,89000.0,8949.45,-8.235,8839.175499454195,-1270.7163250124513
93,87000.0,8813.800000000001,-6.775,8749.993640693727,-1038.8094315654857
94,84000.0,8829.85,-12.275,8668.787582213623,-1887.9041559139678
95,82000.0,8786.35,-8.05,8708.086267261362,-1219.8354984493467
96,80000.0,9020.05,-6.0600000000000005,8955.991336760268,-939.9996766929985
97,78000.0,8952.8,-5.325,8913.244610872709,-850.9886971971954
98,76000.0,6159.1,-8.455,6125.811151504882,-912.6391523396785
99,74000.0,8802.150000000001,-6.1000000000000005,8756.534620681723,-922.7653162624484
100,72000.0,8854.75,-5.29,8818.647868737844,-819.4742857054623
101,70000.0,9347.85,-7.845000000000001,9240.4571708806,-1239.609428868856
102,68000.0,9079.1,-6.75,9051.129141774873,-1091.6362564281592
103,67000.0,9012.35,-5.1,8978.908147278085,-798.9388176243233
104,65000.0,9194.7,-4.73,9171.489862495337,-763.9254814097189
105,63000.0,8995.650000000001,-3.5,8978.615795168256,-519.6192269706779
106,62000.0,8977.5,-4.279999999999999,8950.577862797592,-670.7759065018133
107,60000.0,9196.0,-1.8900000000000001,9186.106442267104,-308.3490913871518
