,frequency,Z,phi,ReZ,ImZ
0,1000000.0,4325.5,101.63,-873.1966227447626,4236.310781693126
1,500000.0,31455.5,78.13,6451.487367198022,30803.163376236138
2,200000.0,55876.0,-66.075,22590.38739926367,-51091.21915400032
3,100000.0,106600.0,-46.665000000000006,73349.83671084073,-77496.18582376261
4,50000.0,149450.0,-29.8,129682.61604838233,-74356.70015937414
5,20000.0,173000.0,-13.92,167917.62324572797,-41629.29034668385
6,10000.0,181010.0,-6.495,179797.92284282635,-20461.297094406305
7,5000.0,179960.0,-3.13,179697.39215080068,-9833.36814202355
8,2000.0,180165.0,-1.245,180012.06828107254,-3906.357282080322
9,1000.0,180290.0,-0.64,180275.75187873858,-2007.2823741918141
10,500.0,179235.0,-0.19,179232.9019039821,-593.2040369469455
11,200.0,178090.0,0.14,178023.9230159696,434.01931985389433
12,120.0,178230.0,0.39,178227.60775020014,1223.8606465195064
13,100.0,176900.0,0.505,176832.4216577564,1572.2036176464649
14,60.0,178735.0,0.665,178597.66244184773,2346.578711305256
15,50.0,130470.0,11.115,128174.36730782712,25447.65399750585
16,25.0,177845.0,0.30500000000000005,177207.01807283674,904.314359443327
